,"('Crowd Flower', 'anger')","('Crowd Flower', 'boredom')","('Crowd Flower', 'empty')","('Crowd Flower', 'enthusiasm')","('Crowd Flower', 'fun')","('Crowd Flower', 'happiness')","('Crowd Flower', 'hate')","('Crowd Flower', 'love')","('Crowd Flower', 'neutral')","('Crowd Flower', 'relief')","('Crowd Flower', 'sadness')","('Crowd Flower', 'surprise')","('Crowd Flower', 'worry')","('Emotions Dataset', 'anger')","('Emotions Dataset', 'fear')","('Emotions Dataset', 'joy')","('Emotions Dataset', 'love')","('Emotions Dataset', 'sadness')","('Emotions Dataset', 'surprise')","('TwitterOne', 'angry')","('TwitterOne', 'disgust')","('TwitterOne', 'fear')","('TwitterOne', 'happy')","('TwitterOne', 'sad')","('TwitterOne', 'surprise')","('TwitterTwo', 'angry')","('TwitterTwo', 'disgust')","('TwitterTwo', 'fear')","('TwitterTwo', 'happy')","('TwitterTwo', 'sad')","('TwitterTwo', 'surprise')"
"('Crowd Flower', 'anger')",0.0,0.9485177280548298,1.7476497444420425,2.359764227868041,2.820919250936365,2.639358683465866,2.5720971742407475,2.4874430572479485,2.167908428057977,2.620434242847037,2.7751950169766624,2.656594644663544,2.8772805057350257,2.896660466715149,2.7849523477615135,3.2373359329948745,3.139585800300936,2.8852767706510534,2.587795453223628,3.3690472080626637,1.5841264172562777,2.312675403140974,3.8944873177188093,3.8472118014298102,0.5596242373431654,3.1375100238302225,1.256155652294333,2.3748166566854447,3.9855766237490475,3.8207483392246404,0.5147168050218921
"('Crowd Flower', 'boredom')",0.9485177280548298,0.0,0.25442763221072534,0.5186507534274621,0.7536611520187468,0.6549501206185655,0.6118869619819602,0.576702969890716,0.4123391985919324,0.637500156255593,0.7170206526276419,0.6587126356556244,0.7716225887574969,0.8595341472954257,0.8021885189317074,1.0588206319799855,1.0185392078406186,0.8549222857353189,0.7158181423359907,1.2324710783771873,0.4755859497487385,0.6765628347521438,1.5450808178057986,1.4829244843172804,1.1069291763237876,1.0830011457023268,0.4054388403827889,0.7062096709303695,1.5934725022509162,1.4660402166877078,0.978854412296091
"('Crowd Flower', 'empty')",1.7476497444420425,0.25442763221072534,0.0,0.12033606129649406,0.2615901734083307,0.1885503389852367,0.17986164987156558,0.14499028208704218,0.04339651775391022,0.1775459429173087,0.22514740647170933,0.18823242255744194,0.25510908836609536,0.3963746105273549,0.36105106383072916,0.5284285039586538,0.532463126403826,0.38506649859052183,0.35408553718676683,0.7227259019495416,0.4899091538377429,0.4070206676630488,0.9172548654248115,0.8624180027205021,1.8622088171350966,0.5987365542459331,0.5511266767958227,0.427414919045248,0.9399324482825722,0.8468474936563581,1.7081463700818553
"('Crowd Flower', 'enthusiasm')",2.359764227868041,0.5186507534274621,0.12033606129649406,0.0,0.04835747405219404,0.024819801559765924,0.041752415364578396,0.023920498978038416,0.037498647573761916,0.026521310469277182,0.043010209969551134,0.027419518366625827,0.05122689257503527,0.200994724094895,0.1857725149552392,0.2540392557769686,0.27200440702312256,0.19348914158866665,0.2075173455058308,0.38387611942016964,0.5506390068164067,0.2908076134425528,0.47768048415454745,0.44391489667909645,2.499730217927947,0.3046114665414136,0.7485005021843122,0.28429184026143195,0.49237582317213646,0.4374775957824153,2.3354687727345094
"('Crowd Flower', 'fun')",2.820919250936365,0.7536611520187468,0.2615901734083307,0.04835747405219404,0.0,0.01523346681077936,0.03969626918109383,0.039859310735826686,0.11445822014311936,0.025662050737598932,0.022132469652601017,0.01576488643636527,0.01839063131803893,0.18238872944886536,0.18369346453002364,0.1977870785601976,0.21987800112992437,0.18203076431549325,0.21795908284809248,0.3004792852471071,0.6911906401251446,0.33521621826374637,0.3420016697883753,0.31148294704184953,2.981355644774094,0.2435529264871918,0.9669819911591011,0.30647037643886654,0.3456569340483651,0.30724420048465,2.797030258693143
"('Crowd Flower', 'happiness')",2.639358683465866,0.6549501206185655,0.1885503389852367,0.024819801559765924,0.01523346681077936,0.0,0.03604898664419661,0.014223522704556353,0.066842408437466,0.011477710199848137,0.021619111925406116,0.010297388539158354,0.024499036437642653,0.19311939160295036,0.18460590948775152,0.21657002752406146,0.24076814967331023,0.18620116273588389,0.21128944085101214,0.34629027018995484,0.6398454169047029,0.3183994177525014,0.3974643689033873,0.36853956919178316,2.7796576079430917,0.2725572242161771,0.8762794481565159,0.301086617205787,0.40568345814173556,0.36368425707788277,2.6073283647453644
"('Crowd Flower', 'hate')",2.5720971742407475,0.6118869619819602,0.17986164987156558,0.041752415364578396,0.03969626918109383,0.03604898664419661,0.0,0.0461208176683275,0.07788093966054865,0.02816547618392176,0.021836486450906092,0.022714247119249277,0.02751477555009034,0.1583977379422843,0.16120134490465296,0.2061355432081406,0.22285384119707718,0.1554175818782112,0.19279623388373646,0.35609783506665904,0.6402138343447363,0.3489634827156781,0.4541305266205795,0.3953416706708296,2.784867742290961,0.2895238481706556,0.8819802563136443,0.3222108184897843,0.45819703413472046,0.38758540095015614,2.601091671702322
"('Crowd Flower', 'love')",2.4874430572479485,0.576702969890716,0.14499028208704218,0.023920498978038416,0.039859310735826686,0.014223522704556353,0.0461208176683275,0.0,0.04607069346906727,0.02389743156332166,0.03861133923740421,0.02319200712568867,0.04833773063637719,0.20244725737454114,0.19206796243089547,0.24683041139130119,0.2603436051921144,0.19618869734450925,0.21405527901942026,0.39669907711115626,0.5998999595227793,0.3178787915905482,0.4618634023904781,0.43360415560960464,2.612948659853157,0.3109798532231956,0.8047913853594144,0.30384688144945193,0.4756161529447139,0.42607596712404194,2.4344991655281003
"('Crowd Flower', 'neutral')",2.167908428057977,0.4123391985919324,0.04339651775391022,0.037498647573761916,0.11445822014311936,0.066842408437466,0.07788093966054865,0.04607069346906727,0.0,0.06290710312990896,0.09372366416499889,0.06906904511360662,0.11093478239763302,0.27006250274306426,0.24536418445416164,0.3565894652419971,0.3738159807501552,0.25912662032404193,0.2654945518845417,0.5405280129962671,0.5462330287048414,0.34355815750432617,0.6662246268772877,0.6222311398027045,2.2694682672876287,0.43361653143750656,0.6793205707398995,0.3510702459886226,0.6822221476498366,0.6098300626100046,2.114070475261455
"('Crowd Flower', 'relief')",2.620434242847037,0.637500156255593,0.1775459429173087,0.026521310469277182,0.025662050737598932,0.011477710199848137,0.02816547618392176,0.02389743156332166,0.06290710312990896,0.0,0.017787483538856362,0.013587813604365466,0.020530016323346948,0.1644755307470381,0.15853761115773088,0.19483334118806156,0.2223317483709615,0.15652928894717066,0.19100436867596735,0.3522680016162334,0.6369198186785985,0.3269548439252465,0.4129538866656798,0.37417237439994067,2.773227336329501,0.27876109081543643,0.875395952495502,0.30425057091785246,0.4190961185190516,0.3697931177588716,2.5978349934506904
