,"('Crowd Flower', 'anger')","('Crowd Flower', 'boredom')","('Crowd Flower', 'empty')","('Crowd Flower', 'enthusiasm')","('Crowd Flower', 'fun')","('Crowd Flower', 'happiness')","('Crowd Flower', 'hate')","('Crowd Flower', 'love')","('Crowd Flower', 'neutral')","('Crowd Flower', 'relief')","('Crowd Flower', 'sadness')","('Crowd Flower', 'surprise')","('Crowd Flower', 'worry')","('Emotions Dataset', 'anger')","('Emotions Dataset', 'fear')","('Emotions Dataset', 'joy')","('Emotions Dataset', 'love')","('Emotions Dataset', 'sadness')","('Emotions Dataset', 'surprise')","('Twitter', 'angry')","('Twitter', 'disgust')","('Twitter', 'fear')","('Twitter', 'happy')","('Twitter', 'sad')","('Twitter', 'surprise')"
"('Crowd Flower', 'anger')",0.0,0.8011048900090683,1.5244436893499227,2.1271115328461025,2.5363193137824807,2.380769071842401,2.304012311051216,2.2022148414848033,1.9214913724889175,2.3094035940602953,2.4967958555971097,2.378971940055507,2.5911402585093857,2.580115660316802,2.4963362553068267,2.898371631817928,2.8359553915428615,2.591394260977062,2.236257774863544,3.402639132579875,2.2012992562155813,2.870118872752577,3.8426939444200636,3.702445398864058,1.1837357424063766
"('Crowd Flower', 'boredom')",0.8011048900090683,0.0,0.2371398298991498,0.49070706622755644,0.7127900148493855,0.6171256326182708,0.577444522387093,0.5282418870708325,0.3882645491206638,0.5816435271112029,0.6754324493850128,0.6141842555571951,0.7290580587880513,0.8142561524058399,0.759858944302659,0.9936688875244605,0.9796513110778768,0.8069423035708713,0.6504285973883749,1.3521280576400232,0.6826413314318284,1.0205851260631935,1.6250722571715344,1.5269978103151103,0.3022058582145278
"('Crowd Flower', 'empty')",1.5244436893499227,0.2371398298991498,0.0,0.12009297156525592,0.2461037943625562,0.1798383478398954,0.17795667024764894,0.13405239934077517,0.0422840188057213,0.16723201065883553,0.21757278096006322,0.1817860239564768,0.24836405541911666,0.3894076699548499,0.3501797282820072,0.4995509682302526,0.5097312173817308,0.37057093252712525,0.3283837337292629,0.7949419827539976,0.38510181129203885,0.5695611703002295,0.9914602027295182,0.9073356879146453,0.32011689027361545
"('Crowd Flower', 'enthusiasm')",2.1271115328461025,0.49070706622755644,0.12009297156525592,0.0,0.04113915102417166,0.0235676524130614,0.03569118280805801,0.024452869456079194,0.03983074077679464,0.02539117359236041,0.03708057140079188,0.02499406639604472,0.044929166590183284,0.18951761509346976,0.17491306896861827,0.22762994608172257,0.2433565915904863,0.17738704570213915,0.18118080954305774,0.39929676093548666,0.2802529437454574,0.28930881074657533,0.516956041021067,0.46639307492139603,0.5020868092386822
"('Crowd Flower', 'fun')",2.5363193137824807,0.7127900148493855,0.2461037943625562,0.04113915102417166,0.0,0.015962178918770914,0.039631750475896274,0.041403492156090835,0.10634737244001319,0.02745692170885423,0.0221017298875808,0.018379462312123354,0.018186502782970165,0.19023407378042995,0.1864253440686049,0.19038176372278773,0.20792930804575732,0.17887223795726415,0.2043378963861468,0.2877170680521099,0.31124533113575303,0.24125878263161177,0.3668461459991236,0.3265459663166674,0.6851744036656887
"('Crowd Flower', 'happiness')",2.380769071842401,0.6171256326182708,0.1798383478398954,0.0235676524130614,0.015962178918770914,0.0,0.03676088200391878,0.01568338794488243,0.06450698731126815,0.012313912510439404,0.02137094210825844,0.012439287064487436,0.02322833779928636,0.1909953048747084,0.18191180104671523,0.20214272317674037,0.2234406929161246,0.17580293422096696,0.19717406915392083,0.34827364873176103,0.3029908866630348,0.27252973385402135,0.4330624697549682,0.39627495949595803,0.6052982622974035
"('Crowd Flower', 'hate')",2.304012311051216,0.577444522387093,0.17795667024764894,0.03569118280805801,0.039631750475896274,0.03676088200391878,0.0,0.047957734760169624,0.0772007191056787,0.03022798509768121,0.019152672096715635,0.022153758970230454,0.024675183270013078,0.16292254332370193,0.1611482408699338,0.19825831509741781,0.21685284357939782,0.15454433947209376,0.1792792503170219,0.3392586583994036,0.27770116006325946,0.2716416253952706,0.46690692345276663,0.3936531685565101,0.5988552988190097
"('Crowd Flower', 'love')",2.2022148414848033,0.5282418870708325,0.13405239934077517,0.024452869456079194,0.041403492156090835,0.01568338794488243,0.047957734760169624,0.0,0.04301423621316687,0.025227146696211195,0.039907275156327325,0.024223932748044838,0.04896613408522478,0.2037424417582262,0.19020330150421716,0.23539968535495753,0.24632582128052682,0.19187679699700116,0.19738977144778472,0.40966083150711835,0.29743961112096584,0.30248527196203306,0.5103027267748521,0.469902570615326,0.5245919161925249
"('Crowd Flower', 'neutral')",1.9214913724889175,0.3882645491206638,0.0422840188057213,0.03983074077679464,0.10634737244001319,0.06450698731126815,0.0772007191056787,0.04301423621316687,0.0,0.06156945165732408,0.08961623605783914,0.06524085351183008,0.10712464863084978,0.2703999822464896,0.2420675290137555,0.34288629674139004,0.36040099816123006,0.252507089345636,0.24835597229528403,0.5656708338512769,0.31911778408836994,0.39871819135750886,0.7126499229747675,0.6486057363330433,0.42297460073817195
"('Crowd Flower', 'relief')",2.3094035940602953,0.5816435271112029,0.16723201065883553,0.02539117359236041,0.02745692170885423,0.012313912510439404,0.03022798509768121,0.025227146696211195,0.06156945165732408,0.0,0.021142298214773897,0.0149264689050085,0.023174237302101552,0.1708801445987115,0.16260664658977647,0.19181232271551368,0.21643361786353807,0.15682342603206317,0.17920977159679077,0.35358741372906866,0.29874673688222586,0.27658903496524156,0.45476392367176943,0.4061012992769394,0.5907670194505867
